,PROFILE,X,Y,LONG,LAT,Z,S
1039,AS,-6644.34469909679,-3013.3153919211395,-59.687163961571684,-26.267258540416528,-459.9490236810886,1.0
2231,Z,-6236.730110953779,-3010.1027145738108,-56.02549981598219,-26.241235461685243,-424.20768415892843,1.0
2170,Y,-6369.307064269802,-3008.0132064879144,-57.21645885084002,-26.22430702933193,-424.94604550492767,1.0
489,AH,-5762.671358981278,-3007.1994429558113,-51.76695759130695,-26.217713540071294,-201.38191613125997,1.0
554,AI,-5840.774116083116,-3006.898089693249,-52.468566595671504,-26.215271740443576,-200.69697893845628,1.0
28,AA,-6084.543008571633,-3006.8191911069352,-54.65837981482475,-26.21463243388598,-229.8616308551245,1.0
766,AL,-6074.874840885825,-3006.2679798403556,-54.57152918680882,-26.210165930645513,-210.65312093475947,1.0
2117,X,-6498.225569761954,-3005.186376580758,-58.37455348973449,-26.20140112065522,-466.5973768930401,1.0
84,AB,-5930.52142254837,-3004.836440624063,-53.27478036673447,-26.198565259535755,-203.6739272366423,1.0
2232,Z,-6214.798401667024,-3002.1016317230965,-55.8284839193906,-26.17640011928408,-399.3418455730884,1.0
945,AP,-6411.492333565239,-3001.761249884746,-57.59541557256791,-26.173641086722032,-421.5594757440723,1.0
2233,Z,-6210.685098902081,-3000.601024735193,-55.79153349197101,-26.164236155540962,-349.4271841904619,1.0
1005,AR,-6579.949191672579,-3000.3651316310156,-59.10868927609368,-26.162323882536104,-461.12546853159387,1.0
974,AQ,-6494.554939342442,-2999.878632839054,-58.341579655652474,-26.15837996854402,-468.3386265888073,1.0
2234,Z,-6208.174347056249,-2999.6850572073804,-55.76897902439359,-26.156810665821578,-308.04457068498704,1.0
2235,Z,-6206.937968322401,-2999.2340039604564,-55.75787244525783,-26.15315392913711,-263.9644910408796,1.0
426,AG,-5696.8098652114,-2998.039117711758,-51.17531372642271,-26.143466299247162,-203.1483423709046,1.0
366,AF,-5613.746314224398,-2997.615613702247,-50.42914115237406,-26.1400325136335,-201.30025272086417,1.0
700,AK,-6005.708999852162,-2997.5995659576915,-53.950201865413625,-26.139902395940744,-214.90670080071632,1.0
821,AM,-6167.797870187352,-2997.355546667492,-55.406270961491295,-26.137923830245757,-220.09052585838725,1.0
869,AN,-6253.002929220589,-2996.6199639697043,-56.17168102962993,-26.13195934797931,-440.7473604211839,1.0
2171,Y,-6337.635149864252,-2996.486166582948,-56.931945202961714,-26.13087441695811,-422.0815176685298,1.0
1071,AT,-6754.1056835785475,-2992.68425114485,-60.67316366117137,-26.10004133730496,-453.0366915164898,1.0
85,AB,-5896.036218971388,-2992.3047639670704,-52.964994512242704,-26.09696329043981,-209.46789743690837,1.0
2118,X,-6462.509796586017,-2992.187568319152,-58.05371324045359,-26.096012691849594,-456.84767453822093,1.0
1100,AU,-6842.685266720977,-2991.4221878969356,-61.46888759514918,-26.089804337988088,-432.726179190373,1.0
2236,Z,-6183.903473454373,-2990.8306050527967,-55.55095005723861,-26.085005508339325,-242.07209564013633,1.0
912,AO,-6344.098130614218,-2990.1711297392917,-56.99000314684835,-26.079655710893622,-426.1974636474629,1.0
29,AA,-6037.258605522163,-2989.59022777557,-54.233616795226666,-26.07494311165812,-232.41868488520947,1.0
553,AI,-5863.429423679969,-2989.519018192351,-52.67208268647832,-26.074365406791607,-208.65827027751024,1.0
305,AE,-5546.04510527077,-2987.1318450586464,-49.820970844809935,-26.054997223766023,-211.66260612853947,1.0
625,AJ,-5949.707907764658,-2986.2992668509487,-53.44713549591771,-26.048241390196164,-221.30441895329167,1.0
488,AH,-5790.927412795294,-2985.5572448752228,-52.0207860414073,-26.042220030162525,-219.95375990593968,1.0
234,AD,-5469.244962016925,-2981.5634900289024,-49.13106341973494,-26.009806140370937,-226.2050737201946,1.0
